birthday, bool, age
10/20/1996,false,39
4/15/1962,true,40
9/4/1960,false,38
11/19/1977,true,44
4/22/1968,false,38
8/1/1967,false,59
7/1/1968,true,29
9/22/1970,false,51
6/10/1957,false,55
7/13/1985,false,51
6/5/1980,true,56
9/11/1970,true,35
1/11/1994,false,46
7/9/1963,true,59
11/6/1979,false,40
8/28/1966,true,18
2/22/1990,false,25
8/7/1957,true,32
10/23/2000,true,19
12/3/1961,true,19
10/11/1978,false,40
11/4/2001,false,50
4/9/1982,false,50
11/11/1993,true,63
6/17/1975,false,24
6/22/1954,false,34
8/31/1997,true,43
4/19/1965,true,32
1/26/1991,false,23
8/1/1993,true,52
9/10/1990,true,55
6/16/1983,true,41
9/13/1982,false,60
6/19/1963,true,23
2/19/1994,true,56
6/29/1963,false,44
10/7/1999,false,65
11/18/1959,false,58
3/26/1954,false,22
10/10/1995,false,56
12/4/1958,true,26
2/19/1968,false,20
7/11/1983,true,28
3/3/1983,true,55
12/4/1966,true,30
3/17/1994,false,21
6/26/1984,true,35
3/12/2000,false,58
11/22/1958,false,32
4/5/1997,false,35
8/25/1981,true,28
2/25/1976,false,58
9/30/1960,false,35
10/2/1957,true,30
8/1/2001,true,37
2/24/1996,true,58
7/28/1995,false,62
3/28/1985,false,41
6/21/1959,true,62
3/2/1961,true,60
9/16/1994,true,25
3/16/1960,false,57
6/12/1988,false,44
11/27/1965,false,19
2/28/1955,false,35
4/2/1968,true,23
12/21/1998,true,26
4/24/1964,false,19
4/26/1982,false,46
8/31/1970,true,22
3/17/1956,false,55
9/7/1960,false,23
11/29/1988,true,31
9/28/1976,false,50
4/2/1997,true,36
9/30/1996,true,18
5/13/1997,false,26
7/20/1960,true,57
6/10/1991,true,30
12/30/1973,false,51
4/10/1991,false,46
1/27/1955,false,39
6/23/1968,false,24
4/10/1963,false,18
9/13/2001,false,46
7/3/1982,false,51
8/26/1991,true,39
2/10/1986,false,48
9/20/1967,false,35
1/17/1981,false,57
2/1/1995,false,63
11/26/1988,false,24
9/4/1986,true,20
4/26/1987,false,37
9/27/1991,false,27
5/9/1986,true,40
8/30/1982,true,56
5/8/1967,true,24
7/25/1961,false,27
2/15/1962,false,25
9/25/1962,true,59
3/31/1964,false,55
12/27/1986,true,20
4/1/1954,true,31
8/12/1984,true,46
3/25/1988,true,22
6/11/1978,true,57
9/16/2001,false,41
4/4/1971,true,51
11/24/1960,true,34
9/16/1961,true,63
5/10/2000,false,50
10/22/1956,true,61
5/31/1993,false,35
4/16/1985,false,24
1/25/1992,true,45
8/23/1992,false,61
8/26/1975,true,54
6/1/1973,true,37
5/6/1973,false,21
4/18/1955,false,23
9/27/1986,true,55
4/6/1986,true,42
6/7/1979,true,36
10/20/2001,false,18
2/8/1956,false,58
4/6/1966,false,33
10/5/1990,true,35
8/2/1965,false,58
6/4/1966,true,43
7/22/1954,true,58
10/10/1966,true,30
1/23/1987,false,50
11/10/1975,true,27
9/21/1993,false,38
2/28/1989,true,26
9/29/1961,false,58
3/22/1979,true,48
1/26/1999,false,48
10/4/1975,true,41
2/13/1963,false,48
6/25/1999,true,22
7/4/1980,true,53
4/6/1977,true,59
1/18/1986,true,29
10/1/1980,false,39
6/3/1997,false,33
3/7/1961,true,61
10/8/1954,true,51
1/13/2000,false,21
9/5/1998,true,42
7/16/1997,true,39
2/8/1999,false,35
8/29/1981,false,29
12/21/1955,true,62
8/7/1993,false,63
2/12/1971,true,29
2/6/1979,true,25
11/8/1974,false,42
4/3/1985,true,53
12/17/1964,false,50
5/14/1981,false,65
2/3/1995,false,45
3/17/2001,false,58
4/13/1962,true,24
7/18/1973,false,50
6/19/1987,true,42
7/10/1975,true,38
2/22/1968,false,62
4/19/1959,false,42
9/22/1970,false,32
10/22/1992,true,47
4/22/1985,false,64
12/10/1972,false,29
2/15/1987,true,45
9/17/1991,true,37
4/2/1968,true,64
7/13/1991,true,59
8/21/1967,true,47
5/14/1977,false,31
10/5/1968,false,61
11/29/1980,false,21
12/20/1955,false,20
4/23/1988,true,55
9/17/1978,false,33
5/14/1959,true,45
2/27/1969,false,59
10/20/1968,false,23
9/18/1958,false,44
12/30/1969,true,33
9/30/1989,false,53
5/30/1973,true,49
5/20/1991,false,34
2/18/1975,true,26
3/10/1999,true,22
11/16/1990,true,31
4/16/1962,false,48
8/29/1964,false,35
2/18/1994,false,25
11/27/1963,false,31
1/28/1972,false,63
10/30/2001,true,61
7/19/1989,true,62
4/29/1994,true,19
9/19/1963,false,23
10/28/1972,false,57
2/23/1988,true,19
10/11/1991,false,34
3/13/1962,true,38
11/25/1985,true,51
11/29/1972,true,39
2/27/1958,false,57
6/7/1971,true,20
2/19/1995,true,20
4/10/1963,true,39
2/14/1956,true,47
2/18/1999,true,18
6/27/1986,false,61
7/19/1979,true,48
1/6/2001,true,25
3/16/1986,true,58
3/31/1960,false,31
12/23/1985,true,46
7/16/1981,true,62
12/14/1966,true,30
8/14/1988,true,65
7/1/1992,false,52
10/22/1991,false,24
10/31/1991,false,46
2/12/1957,true,36
4/2/1999,true,51
11/21/1987,false,59
8/31/1984,false,40
5/16/1958,false,27
11/13/1983,true,40
4/24/1962,false,54
11/18/1988,false,56
7/18/1957,false,42
7/5/1955,true,34
8/18/1961,false,26
4/15/1979,false,45
7/5/1997,false,49
1/24/1955,true,44
11/10/1984,true,65
8/13/1965,true,43
8/27/1973,true,44
4/5/1977,true,28
11/5/1997,true,28
10/14/1978,false,58
9/15/1971,true,35
2/11/1961,true,45
5/28/1984,false,42
4/14/1977,false,31
3/27/1990,true,56
11/2/1993,true,34
4/23/1960,true,47
6/9/1990,true,45
1/8/1990,true,29
6/24/1977,false,39
10/20/1987,true,36
4/24/1977,true,55
2/20/1988,true,26
2/10/1976,false,30
3/21/1979,true,57
8/29/1972,true,50
8/1/1977,true,60
6/25/1990,true,51
9/6/1988,true,33
8/19/1970,false,19
8/22/1980,true,47
10/12/2000,true,18
11/21/1968,true,28
12/30/1988,false,22
1/18/1993,true,44
5/3/1986,true,63
2/21/1970,false,27
9/20/1964,true,20
10/5/1961,false,20
7/2/1993,true,63
2/20/1961,true,62
2/17/1996,false,34
7/20/1958,false,65
12/10/1996,true,28
7/22/1984,false,39
5/2/1989,true,63
4/2/1957,true,56
9/28/1960,false,59
1/16/1982,true,23
4/7/1982,false,37
9/9/1980,true,18
4/14/1958,true,48
1/5/1982,true,37
3/31/1975,false,38
6/30/1966,true,32
10/29/1984,true,58
1/4/1981,false,28
6/26/1982,true,59
3/15/1969,true,57
7/12/1968,false,35
10/26/1990,true,64
10/26/1959,false,49
11/23/1965,false,30
5/9/1979,false,56
9/12/1983,false,62
12/3/1977,false,42
9/19/1976,false,36
11/28/1982,true,19
3/13/1999,true,28
2/3/1962,false,21
1/23/2000,false,50
12/12/1976,false,50
8/4/1968,false,31
6/19/1967,true,49
10/28/1984,false,28
7/30/1990,false,65
